design_id,rule_idx,rule_name,rule_group,seed,family_role,run_dir,quality_target_mode,turnout_mean,gini_assets_mean,gini_dissatisfaction_mean,quality_distance_mean,turnout_last_third_mean,turnout_final,turnout_volatility,gini_assets_last_third_mean,gini_assets_final,gini_assets_volatility,collective_assets_mean,collective_assets_last_third_mean,collective_assets_final,gini_dissatisfaction_last_third_mean,gini_dissatisfaction_final,gini_dissatisfaction_volatility,quality_distance_last_third_mean,quality_distance_final,quality_distance_volatility,mean_dissatisfaction_mean,mean_dissatisfaction_final,diversity_entropy_mean,diversity_entropy_final
149,3,borda,canonical,79516,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_79516/run_0,puzzle,80.4,23.9,22.132,0.273,81.48809523809524,82.0,0.03465863453815261,26.0,26.0,0.0011244979919678715,3253145506330192.5,9680331209890670.0,7.19685078262743e+16,22.023809523809526,16.0,0.017991967871485944,0.25595238095238093,0.25,0.19176706827309237,0.2562246561646461,0.37443310022354126,0.69122980260849,0.5972763299942017
149,3,borda,canonical,79715,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_79715/run_0,puzzle,67.188,36.64,23.952,0.323,69.71428571428571,70.0,0.04228915662650603,46.523809523809526,47.0,0.00642570281124498,86090182171327.77,256201344682081.53,1132537107709952.0,26.05952380952381,22.0,0.015582329317269076,0.375,0.5,0.20281124497991967,0.32905195009708404,0.31119173765182495,0.6848792345523834,0.772110641002655
149,3,borda,canonical,79802,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_79802/run_0,puzzle,51.356,55.596,22.348,0.306,45.67857142857143,50.0,0.046987951807228916,68.28571428571429,69.0,0.005582329317269076,1264880587739894.5,3763004769329542.0,3.646127875083469e+16,22.535714285714285,29.0,0.012771084337349397,0.4017857142857143,0.5,0.21586345381526104,0.31134252560138703,0.306657612323761,0.7064612128734589,0.6224504709243774
149,3,borda,canonical,80130,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_80130/run_0,puzzle,63.728,51.984,24.916,0.282,57.94047619047619,52.0,0.04759036144578313,58.0,58.0,0.004337349397590362,263586551073603.62,784473354293491.8,4884393575317504.0,24.464285714285715,19.0,0.0157429718875502,0.20535714285714285,0.0,0.19076305220883535,0.32234441077709197,0.3366784453392029,0.7103808832168579,0.603927493095398
149,3,borda,canonical,80295,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_80295/run_0,puzzle,63.756,51.2,23.808,0.276,62.98809523809524,64.0,0.03823293172690763,67.82142857142857,69.0,0.005301204819277109,24145147307622.207,71829241978441.14,738774371794944.0,24.166666666666668,26.0,0.012891566265060241,0.27380952380952384,0.0,0.19979919678714858,0.3051940072774887,0.29569870233535767,0.7427944910526275,0.6520283222198486
149,3,borda,canonical,80424,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_80424/run_0,puzzle,54.776,54.412,23.512,0.288,49.30952380952381,48.0,0.04313253012048193,56.23809523809524,61.0,0.004658634538152611,147356222598386.62,438556322804638.5,5101493971582976.0,24.178571428571427,17.0,0.01690763052208835,0.19345238095238096,0.5,0.20281124497991967,0.28879404163360595,0.26342862844467163,0.727627379655838,0.7459384799003601
149,3,borda,canonical,81123,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_81123/run_0,puzzle,54.548,53.488,22.068,0.273,46.95238095238095,43.0,0.043373493975903614,62.36904761904762,59.0,0.007108433734939758,13583983872881.094,40405003628251.43,354512741072896.0,23.583333333333332,22.0,0.015783132530120484,0.31845238095238093,0.25,0.178714859437751,0.3258937041759491,0.33962684869766235,0.7310530781745911,0.8089179396629333
149,3,borda,canonical,81190,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_81190/run_0,puzzle,64.472,39.228,19.032,0.227,66.0,73.0,0.0514859437751004,41.51190476190476,51.0,0.010522088353413655,11065559048856.33,32927214813476.57,331839004737536.0,20.392857142857142,24.0,0.0178714859437751,0.21428571428571427,0.25,0.1897590361445783,0.30947462034225465,0.32973408699035645,0.7122402908802032,0.7565295696258545
149,3,borda,canonical,81312,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_81312/run_0,puzzle,61.72,42.156,23.668,0.37,59.095238095238095,66.0,0.045863453815261045,54.11904761904762,46.0,0.00678714859437751,28321674975838.047,84283899254979.05,684114067849216.0,23.821428571428573,20.0,0.014859437751004017,0.33630952380952384,0.75,0.1827309236947791,0.3091361699104309,0.40524184703826904,0.7286199307441712,0.5842670798301697
149,3,borda,canonical,82070,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_82070/run_0,puzzle,83.184,15.48,24.684,0.263,87.54761904761905,89.0,0.030120481927710843,17.0,17.0,0.0008835341365461848,3060251766968037.0,9107359097721418.0,8.955045466865664e+16,24.404761904761905,29.0,0.01895582329317269,0.18452380952380953,0.5,0.18875502008032127,0.2492196719646454,0.2194766253232956,0.6721554194688797,0.7938508987426758
149,3,borda,canonical,82168,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_82168/run_0,puzzle,77.828,26.3,25.808,0.254,78.71428571428571,80.0,0.024497991967871485,27.773809523809526,29.0,0.0013654618473895584,4.333781698057709e+16,1.28979616042969e+17,1.2991399209876849e+18,24.261904761904763,21.0,0.02357429718875502,0.25297619047619047,0.25,0.17771084337349397,0.2629713343977928,0.30020439624786377,0.6949522030353547,0.7323369383811951
149,3,borda,canonical,82292,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_82292/run_0,puzzle,76.132,34.124,25.588,0.235,81.98809523809524,85.0,0.03971887550200803,34.5,33.0,0.008594377510040161,1027982931310099.1,3058229522826776.5,2.662507349855437e+16,27.63095238095238,32.0,0.014819277108433735,0.23809523809523808,0.25,0.1686746987951807,0.2645519815087318,0.2590275704860687,0.7129976987838745,0.7418016195297241
149,3,borda,canonical,82404,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_82404/run_0,puzzle,67.82,34.572,20.944,0.358,69.86904761904762,68.0,0.056586345381526106,42.32142857142857,45.0,0.007309236947791164,237116929342.06723,705452919264.0,7096909692928.0,20.61904761904762,17.0,0.015220883534136547,0.3125,0.25,0.2389558232931727,0.27982884567975996,0.24563169479370117,0.7287744688987732,0.5994694232940674
149,3,borda,canonical,82986,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_82986/run_0,puzzle,84.036,27.792,23.728,0.355,89.48809523809524,91.0,0.033012048192771086,31.904761904761905,41.0,0.008755020080321285,1.89560135127735e+16,5.641587911558368e+16,3.033030656608174e+17,23.13095238095238,26.0,0.011606425702811245,0.35119047619047616,0.0,0.12349397590361445,0.2785708991885185,0.2496911585330963,0.7183913625478745,0.522683322429657
149,3,borda,canonical,83099,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_83099/run_0,puzzle,61.968,55.684,21.404,0.259,57.76190476190476,59.0,0.04815261044176707,63.86904761904762,64.0,0.002891566265060241,2250544517731.427,6696500089490.286,68922309083136.0,21.11904761904762,32.0,0.012088353413654617,0.2261904761904762,0.0,0.21385542168674698,0.30406778836250303,0.2862682342529297,0.7064226433038712,0.6882820725440979
149,3,borda,canonical,85860,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_85860/run_0,puzzle,74.776,46.484,25.104,0.348,76.21428571428571,73.0,0.036024096385542166,48.13095238095238,29.0,0.007670682730923695,375177505588.5802,1106491918336.0,9918242357248.0,23.892857142857142,29.0,0.0157429718875502,0.4166666666666667,0.0,0.20682730923694778,0.29303626096248625,0.2691030204296112,0.7400866309404374,0.7276312708854675
149,3,borda,canonical,86194,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_86194/run_0,puzzle,77.88,33.784,23.332,0.293,81.33333333333333,81.0,0.029236947791164657,36.19047619047619,38.0,0.0026104417670682733,360932970499491.0,1074120282910134.9,1.1783911717732352e+16,21.5,26.0,0.01678714859437751,0.31547619047619047,0.5,0.17269076305220885,0.2922645196914673,0.2696169912815094,0.6907377007007599,0.8016484975814819
149,3,borda,canonical,86474,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_86474/run_0,puzzle,72.204,35.54,22.08,0.317,74.86904761904762,70.0,0.04385542168674699,41.833333333333336,36.0,0.009156626506024095,3470957466954.26,10322200929036.191,51980265324544.0,22.702380952380953,17.0,0.009799196787148594,0.33630952380952384,0.5,0.18775100401606426,0.31646626830101016,0.41035225987434387,0.7051094212532043,0.5713714361190796
149,3,borda,canonical,87521,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_87521/run_0,puzzle,68.988,50.76,25.772,0.296,69.04761904761905,70.0,0.027590361445783133,66.21428571428571,67.0,0.005140562248995983,4.098168968096535e+16,1.2196852811696576e+17,1.3948055415024517e+18,24.845238095238095,28.0,0.01819277108433735,0.25892857142857145,0.5,0.17670682730923695,0.29785226881504057,0.27503135800361633,0.7138749222755432,0.6164281964302063
149,3,borda,canonical,88242,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_88242/run_0,puzzle,73.536,29.344,25.18,0.233,79.10714285714286,82.0,0.04469879518072289,42.69047619047619,51.0,0.009678714859437752,71311582562000.08,212218970492147.8,1365749671133184.0,26.714285714285715,26.0,0.011164658634538152,0.2648809523809524,0.0,0.19076305220883535,0.308340585231781,0.3096192181110382,0.7209221389293671,0.7022889256477356
149,3,borda,canonical,88324,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_88324/run_0,puzzle,74.204,35.872,20.928,0.315,76.41666666666667,78.0,0.044257028112449796,54.07142857142857,55.0,0.010883534136546184,916447887083.3562,2726610643565.7144,20846055784448.0,21.976190476190474,21.0,0.012329317269076306,0.31547619047619047,0.0,0.23694779116465864,0.32421861016750336,0.29903632402420044,0.7080655193328858,0.6038399338722229
149,3,borda,canonical,88856,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_88856/run_0,puzzle,74.948,33.528,24.872,0.275,71.57142857142857,70.0,0.035100401606425705,36.0,36.0,0.0014056224899598394,3678204681206690.0,1.0946543923557328e+16,9.97304376932434e+16,26.226190476190474,27.0,0.018514056224899596,0.21428571428571427,0.75,0.20180722891566266,0.29580861765146255,0.2553233206272125,0.7053424253463745,0.759545087814331
149,3,borda,canonical,89337,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_89337/run_0,puzzle,65.588,40.076,21.14,0.328,62.20238095238095,64.0,0.042891566265060244,45.107142857142854,46.0,0.0027710843373493976,1016500815695.477,3023144666624.0,15738849984512.0,20.904761904761905,23.0,0.022329317269076304,0.33630952380952384,0.25,0.21184738955823293,0.3363080846071243,0.31359654664993286,0.6908137429952621,0.7766737937927246
149,3,borda,canonical,90419,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_90419/run_0,puzzle,64.648,44.896,22.312,0.324,67.16666666666667,65.0,0.0548995983935743,59.69047619047619,79.0,0.011124497991967873,15201237173160.898,45240943704228.57,589444197384192.0,24.19047619047619,22.0,0.012329317269076306,0.2648809523809524,0.5,0.19678714859437751,0.26980054134130477,0.28545480966567993,0.7263089635372162,0.759681224822998
