rule_name,rule_group,n_runs,corr_abstention_assets_rank_mean,corr_abstention_final_dissatisfaction_rank_mean,corr_abstention_mean_dissatisfaction_rank_mean,delta_high_minus_low_assets_rank_mean,delta_high_minus_low_final_dissatisfaction_rank_mean,delta_high_minus_low_mean_dissatisfaction_rank_mean,share_runs_assets_corr_negative,share_runs_final_diss_corr_positive,share_runs_mean_diss_corr_positive
plurality,reference,200,-0.8197042119304665,0.5838251701792636,0.5820843340578956,-0.44413312276769445,0.37152750046816935,0.37077846726385205,1.0,0.98,0.995
approval,context,50,-0.7475045132093773,0.47337829557835404,0.4510732675696122,-0.38846420667892434,0.30223592670202126,0.28091857971929607,0.98,0.94,0.98
utilitarian,canonical,200,-0.778735322140803,0.4300536490723681,0.4566585897914901,-0.40125467623598643,0.270485148182011,0.2870705687614977,1.0,0.92,1.0
borda,canonical,200,-0.7545246654296741,0.4262928383019873,0.42264793147311247,-0.40626091701020317,0.25869599832196444,0.257926731647246,1.0,0.92,0.995
schulze,canonical,200,-0.7604312150497562,0.438287133022567,0.4391672498608192,-0.4024209270856644,0.2715547956530548,0.27267954181464743,0.995,0.93,1.0
random,reference,200,-0.15858282269885476,0.0015885665654276203,0.03746017312217056,-0.07588379972093988,-0.0002971695702564053,0.027852485872869356,0.675,0.53,0.645
