rule_name,rule_group,n_runs,turnout_mean,turnout_sd,gini_assets_mean,gini_assets_sd,gini_dissatisfaction_mean,gini_dissatisfaction_sd,quality_distance_mean,quality_distance_sd,collective_assets_mean,collective_assets_sd,mean_dissatisfaction_mean,mean_dissatisfaction_sd
plurality,reference,200,68.35382,8.477559313100421,44.171940000000006,9.647008253214462,27.90876,3.471552280838208,0.48852500000000004,0.056531837207811075,782656313223334.5,8293765205504116.0,0.27371793732196087,0.033574052091988146
approval,context,50,67.04472,8.529786989325427,40.61776,10.791116199874027,24.319279999999996,1.9588485897462875,0.331,0.050921307837061044,663591470395863.4,3989353713945605.5,0.2943373007714748,0.030298618194949407
utilitarian,canonical,200,66.98613999999999,9.049000925469382,41.73856,9.636316909707858,24.230200000000004,1.8271415575583583,0.31061999999999995,0.045575665727805484,4863921012930639.0,3.682274976972842e+16,0.2964998334053159,0.028164133489701176
borda,canonical,200,66.62611999999999,8.934330844770585,40.137,10.106049197978397,23.087979999999998,1.8241929501003946,0.30204000000000003,0.03965515168646291,7047592237006139.0,4.1056924245205896e+16,0.3009662698587775,0.0265027402317723
schulze,canonical,200,66.35962,9.204244479466468,40.767900000000004,9.837585400011152,23.77018,1.83353357056037,0.304045,0.04406747880741774,4384251245894752.5,2.7830718261649852e+16,0.29987888962417836,0.028660868169765527
random,reference,200,55.19916,1.971461742313818,22.55228,7.912703369561719,20.2263,1.2493800150917065,0.624445,0.016975210273192376,654.5353062853875,282.78363203650923,0.32749635311245917,0.011831320803496059
