design_id,rule_name,seed,run_dir,mean_turnout,turnout_std,turnout_start_window_mean,turnout_end_window_mean,turnout_drop_start_end,turnout_outside_20_80_share,turnout_decline_slope_norm,mean_gini,gini_std,mean_dist,dist_std,winner_changes_post_burnin,winner_change_rate_post_burnin,winner_entropy_norm,dist_nonzero_share,competitive_step_share,group_participation_std,group_turnout_range_mean,roll3_group_turnout_range_max,roll20_group_turnout_range_max,participant_share_max_abs_drift_20,participant_share_mean_abs_drift_20_w,participant_share_turnover_rate_w,participant_abstainer_delta_rel_gap_abs,puzzle_conflict_step_share,puzzle_dominance_share_conflict,power_recovery_share_conflict,puzzle_power_margin_mean_conflict,gate_no_lockin,gate_not_too_chaotic,gate_winner_entropy,gate_puzzle_anti_monopoly,passes_hard_gates
0,approval,117,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00117/run_0,67.48799896240234,3.1790378093719482,67.64,67.44,0.20000000000000284,0.004,0.0,50.036,13.968506746352366,0.451,0.32290256155228636,139.0,0.5582329317269076,0.588570154093053,0.788,0.5742971887550201,0.4007468876797502,0.7797372549019607,1.0,0.9999999999999999,0.14924265222404953,0.12952442229819808,0.02214991972560558,0.07335761934518814,0.932,0.26609442060085836,0.6266094420600858,-0.1351931330472103,True,True,True,True,True
0,approval,118,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00118/run_0,60.380001068115234,5.025597095489502,66.84,54.76,12.080000000000005,0.0,0.12440892430278976,47.272,12.169403994210118,0.387,0.3160387983908834,155.0,0.6224899598393574,0.6658123607197692,0.748,0.5983935742971888,0.39346686031395817,0.7917061946400183,1.0,0.9999999999999999,0.2617484344076709,0.21700812952029064,0.027922694984465438,0.05801873654127121,0.8,0.295,0.55,-0.11875,True,True,True,True,True
0,approval,121,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00121/run_0,64.23600006103516,4.383739471435547,65.24,63.8,1.4399999999999977,0.0,0.0,34.952,15.222239068185601,0.397,0.31945139972638814,149.0,0.5983935742971888,0.632685966503347,0.744,0.6827309236947792,0.2435567294101365,0.7791456500488759,0.9722222222222222,0.9135080645161291,0.2296704297584923,0.14381672644596688,0.03267750629754566,0.00823412835597992,0.768,0.265625,0.625,-0.18619791666666666,True,True,True,True,True
0,approval,122,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00122/run_0,56.875999450683594,5.298008918762207,67.04,56.24,10.800000000000004,0.0,0.08179984063745066,47.24,11.50267997409062,0.529,0.32762532474406586,144.0,0.5783132530120482,0.6594469798051942,0.852,0.5742971887550201,0.3362477848606828,0.8114353658536585,1.0,0.996875,0.3519003199007328,0.29626493384420527,0.022504774912398932,0.09722209349274635,0.908,0.17180616740088106,0.6828193832599119,-0.31057268722466963,True,True,True,True,True
0,approval,127,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00127/run_0,71.69999694824219,4.276817321777344,68.56,73.04,-4.480000000000004,0.024,0.0,24.452,5.021209633618073,0.45,0.3308137708802584,129.0,0.5180722891566265,0.620735300166654,0.776,0.7108433734939759,0.23887984640864895,0.7830620300751878,0.9791666666666666,0.8628289473684211,0.13025455431651634,0.11702399273969863,0.03136859615608869,0.006011933088302612,0.824,0.2961165048543689,0.5194174757281553,-0.14320388349514562,True,True,True,True,True
0,approval,138,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00138/run_0,88.38400268554688,8.344282150268555,72.52,95.96,-23.439999999999998,0.816,0.0,50.956,25.022601510342234,0.528,0.29164400370931404,112.0,0.4497991967871486,0.5243152596610907,0.88,0.4899598393574297,0.324669581389366,0.802540027137042,1.0,0.9977272727272726,0.012280881501758767,0.01034258108771327,0.016923992637718918,0.010833226144313812,0.908,0.18061674008810572,0.7092511013215859,-0.35462555066079293,True,True,True,True,True
0,approval,169,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00169/run_0,56.428001403808594,6.5397162437438965,68.12,48.6,19.520000000000003,0.0,0.17572302788844643,55.536,19.515226883674327,0.376,0.2906232051807946,150.0,0.6024096385542169,0.6585179620677502,0.788,0.7269076305220884,0.283710536728517,0.7146206896551724,1.0,0.9706896551724138,0.25729793647730625,0.17593869403518375,0.03335903940392568,0.02063388004899025,0.804,0.43283582089552236,0.417910447761194,-0.04975124378109453,True,True,True,True,True
0,approval,175,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00175/run_0,64.83599853515625,3.6096012592315674,66.72,66.68,0.03999999999999204,0.0,0.0,57.884,23.3961549032534,0.429,0.2729597554813709,86.0,0.3453815261044177,0.454450915894482,0.852,0.6546184738955824,0.3690182238722422,0.8291706815511163,1.0,0.9979166666666666,0.1405227375697103,0.07875306917445912,0.023981132666173657,0.0534534752368927,0.76,0.24736842105263157,0.6263157894736842,-0.3026315789473684,True,True,True,True,True
0,approval,197,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00197/run_0,65.30799865722656,2.7878711223602295,67.48,65.08,2.4000000000000057,0.0,0.02146517928286876,52.576,13.40698373428586,0.429,0.28903835851105136,133.0,0.5341365461847389,0.6177331231817165,0.804,0.4979919678714859,0.44103729620003324,0.8573507514305477,1.0,0.9999999999999999,0.2096172194189973,0.14615584888655514,0.0168462839890423,0.0882379449903965,0.944,0.25,0.5932203389830508,-0.1472457627118644,True,True,True,True,True
0,approval,199,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00199/run_0,62.2599983215332,3.5056467056274414,65.16,62.92,2.239999999999995,0.0,0.03001721115537908,40.276,6.731797112917019,0.279,0.23479675907535258,105.0,0.42168674698795183,0.6647613661359291,0.72,0.4819277108433735,0.4118840759326222,0.8025785440613027,1.0,0.9965517241379309,0.24820779904190557,0.2254636561643646,0.02630126445040119,0.07653777301311493,0.688,0.12790697674418605,0.4069767441860465,-0.1002906976744186,True,True,True,True,True
0,approval,224,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00224/run_0,75.39199829101562,4.0901408195495605,74.16,70.48,3.6799999999999926,0.108,0.07473083665338702,31.788,4.186305844835757,0.386,0.26887389737712186,107.0,0.42971887550200805,0.6439996164298821,0.82,0.5903614457831325,0.324782222266484,0.870952528379773,1.0,0.9749999999999999,0.19386129087205795,0.16293055210557622,0.02953607333144601,0.06783265992999077,0.824,0.13106796116504854,0.5825242718446602,-0.14320388349514562,True,True,True,True,True
0,approval,227,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00227/run_0,54.900001525878906,7.793133735656738,66.2,49.8,16.400000000000006,0.0,0.20699378486055867,49.296,12.8303881249848,0.394,0.31007836812249584,136.0,0.5461847389558233,0.6396042268067552,0.756,0.7710843373493976,0.1998346893587913,0.5010354700854701,0.8398919753086419,0.7554976851851852,0.15257111080309618,0.11305420472189073,0.042055948396333274,0.008740153163671494,0.816,0.4362745098039216,0.4411764705882353,-0.051470588235294115,True,True,True,True,True
0,approval,263,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00263/run_0,63.63199996948242,4.3465094566345215,65.44,61.68,3.759999999999998,0.0,0.02958406374502038,45.532,14.017236090988911,0.379,0.28360310804285316,147.0,0.5903614457831325,0.750940388900722,0.768,0.7349397590361446,0.26153050063076094,0.68072,0.9866666666666667,0.9649130434782607,0.24231681680179973,0.16689131755043896,0.03583289837357084,0.03225001506507397,0.86,0.413953488372093,0.3023255813953488,0.046511627906976744,True,True,True,True,True
0,approval,297,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00297/run_0,59.21200180053711,6.288181304931641,69.32,54.24,15.079999999999991,0.004,0.1615811952191241,55.272,10.923888564309957,0.348,0.2658546874881798,135.0,0.5421686746987951,0.7093164011394888,0.772,0.5783132530120482,0.31458577166091983,0.7800982363977486,1.0,0.998076923076923,0.26888237205924487,0.17211803955103672,0.033386725914688144,0.05153070017695427,0.808,0.25742574257425743,0.504950495049505,-0.039603960396039604,True,True,True,True,True
0,approval,300,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00300/run_0,58.2239990234375,8.055394172668457,67.44,50.08,17.36,0.0,0.23805131474103594,45.444,12.729454822588487,0.38,0.2755061060264025,151.0,0.606425702811245,0.6982922142736617,0.8,0.41767068273092367,0.35113454447459846,0.7411632653061224,1.0,0.9864795918367346,0.42733553191326934,0.4067471444186408,0.03362938304439954,0.06651216372847557,0.892,0.8116591928251121,0.06726457399103139,0.3755605381165919,True,True,True,True,True
0,approval,307,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00307/run_0,55.220001220703125,6.1634039878845215,67.12,51.36,15.760000000000005,0.0,0.1526007968127494,47.868,13.645636282644828,0.393,0.2812782783641817,153.0,0.6144578313253012,0.6364085541106028,0.792,0.7751004016064257,0.2919233205551321,0.6712953197099539,0.9909909909909909,0.9541529334212261,0.33983699941240303,0.25582622853900655,0.03706688499394622,0.02060306817293167,0.768,0.203125,0.6354166666666666,-0.20963541666666666,True,True,True,True,True
0,approval,310,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00310/run_0,87.91999816894531,7.966899394989014,71.48,95.32,-23.83999999999999,0.824,0.0,16.8,6.642325039299932,0.442,0.2932233273099445,101.0,0.40562248995983935,0.5348661607965898,0.812,0.5622489959839357,0.32934471799799225,0.8164906204906205,1.0,0.9915584415584416,0.018260693617165202,0.01466487762477951,0.018783488104352156,0.00045093148946762085,0.836,0.2727272727272727,0.5885167464114832,-0.26913875598086123,True,True,True,True,True
0,approval,314,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00314/run_0,72.72000122070312,3.716024160385132,70.12,73.2,-3.0799999999999983,0.012,0.0,56.416,13.399444932458657,0.422,0.3646200641279339,106.0,0.42570281124497994,0.5004705329977044,0.7,0.606425702811245,0.35739898528504505,0.8369276705276706,1.0,0.9972972972972972,0.08022510221338713,0.050312278516813844,0.026482371303915418,0.02842051163315773,0.744,0.23655913978494625,0.6612903225806451,-0.29973118279569894,True,True,True,True,True
0,approval,317,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00317/run_0,64.14800262451172,4.896324157714844,67.6,67.44,0.1599999999999966,0.004,0.0,31.764,9.617394716059959,0.33,0.29741186133213343,161.0,0.6465863453815262,0.7635738864224239,0.716,0.6827309236947792,0.27422784935537764,0.6846745484400657,0.9666666666666666,0.885,0.22357681358010148,0.11621307249039627,0.028234916380631893,0.023837756365537643,0.8,0.53,0.33,0.05875,True,True,True,True,True
0,approval,324,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00324/run_0,83.20800018310547,4.2771382331848145,73.44,84.12,-10.680000000000007,0.872,0.0,23.656,3.617458780985419,0.413,0.29923094196039624,122.0,0.4899598393574297,0.6775958661507845,0.78,0.5983935742971888,0.36702758449156836,0.8524386724386724,1.0,0.9818181818181817,0.09082686663969353,0.07821378324657106,0.02154881473298895,0.07047196105122566,0.832,0.1201923076923077,0.6490384615384616,-0.18870192307692307,True,True,True,True,True
0,approval,325,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00325/run_0,72.5999984741211,3.904482126235962,68.76,73.4,-4.640000000000001,0.012,0.0,41.66,10.913699434259929,0.34,0.28234531251998507,130.0,0.5220883534136547,0.6350446525434553,0.704,0.6465863453815262,0.35750453476442845,0.7708376026272579,1.0,0.9708333333333333,0.18956047771779644,0.1320376270979916,0.02802509914748503,0.019348204135894775,0.764,0.31413612565445026,0.5340314136125655,-0.06413612565445026,True,True,True,True,True
0,approval,328,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00328/run_0,76.7959976196289,4.645936012268066,69.36,79.56,-10.200000000000003,0.16,0.0,24.476,4.3779091303285025,0.524,0.33522155953324906,149.0,0.5983935742971888,0.7167545466954219,0.82,0.6987951807228916,0.3392522867695519,0.8462105263157894,1.0,0.9940789473684211,0.12168497590287819,0.10931647372203128,0.02178321329754338,0.04438473703339696,0.956,0.20502092050209206,0.7071129707112971,-0.22594142259414227,True,True,True,True,True
0,approval,332,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00332/run_0,70.03600311279297,3.7172539234161377,69.6,67.56,2.039999999999992,0.008,0.06429227091633494,39.768,6.849074044062027,0.37,0.28270068750333704,132.0,0.5301204819277109,0.6382700724742517,0.764,0.5983935742971888,0.3520291452226166,0.8515075941008144,1.0,0.9929479418886198,0.19005597476012925,0.16566748173598478,0.029301009866278937,0.06445436924695969,0.856,0.4205607476635514,0.3691588785046729,-0.04439252336448598,True,True,True,True,True
0,approval,347,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00347/run_0,53.01599884033203,6.869388580322266,66.4,46.48,19.92000000000001,0.0,0.1846087649402398,54.668,14.474384519865282,0.363,0.26601514284886035,161.0,0.6465863453815262,0.7418660073925106,0.784,0.7710843373493976,0.28866984065273155,0.6929282913165266,1.0,0.9831349206349206,0.34090195397802997,0.2381664598505413,0.040659932562922566,0.03056614100933075,0.832,0.36538461538461536,0.4326923076923077,0.018028846153846152,True,True,True,True,True
0,approval,363,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00363/run_0,50.46799850463867,9.578725814819336,64.8,41.48,23.32,0.0,0.2935486852589651,59.76,15.645367047153629,0.335,0.2904521471760827,162.0,0.6506024096385542,0.7669269019742402,0.704,0.5783132530120482,0.3436295102265668,0.6578787878787878,0.9705882352941176,0.9557040998217469,0.38868211135667424,0.25892969115501396,0.04814318018999088,0.023346416652202606,0.872,0.8211009174311926,0.0871559633027523,0.39908256880733944,True,True,True,True,True
0,approval,364,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00364/run_0,63.92399978637695,4.774243354797363,66.76,59.2,7.560000000000002,0.004,0.10495840637450235,47.476,14.629611276599856,0.373,0.2818488158926347,93.0,0.37349397590361444,0.5351555069662901,0.78,0.6265060240963856,0.31117578931088774,0.8301604651162791,1.0,0.9965116279069767,0.3668095243439472,0.27342561002182203,0.029362357135484886,0.05482654087245464,0.716,0.3575418994413408,0.5307262569832403,-0.16620111731843576,True,True,True,True,True
0,approval,367,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00367/run_0,88.4520034790039,7.325458526611328,74.0,93.72,-19.72,0.824,0.0,20.36,8.030964172636352,0.404,0.2785576735795303,123.0,0.4939759036144578,0.5752231740831647,0.808,0.5502008032128514,0.3616983123176135,0.7919804041641152,1.0,0.9826291079812205,0.033043697591142784,0.027710531421030866,0.015996650747205333,0.02135000377893448,0.804,0.13930348258706468,0.7014925373134329,-0.24378109452736318,True,True,True,True,True
0,approval,370,data/simulation_output/doe_20260302_175623/design_0000/rule_approval/seed_00370/run_0,69.33200073242188,3.201056480407715,69.08,70.32,-1.2399999999999949,0.004,0.0,35.7,5.890738766305242,0.383,0.3121711120729326,148.0,0.5943775100401606,0.701347393576444,0.736,0.6184738955823293,0.35200461210270384,0.8908571428571429,1.0,0.9862433862433861,0.1663761415658599,0.14486646336413692,0.02673000679312739,0.048076942563056946,0.86,0.24186046511627907,0.5581395348837209,-0.12790697674418605,True,True,True,True,True
