design_id,n_primary_runs,n_primary_pass,pass_rate,quality_mean,quality_std,seed_robustness,weight_quality_effective,weight_seed_robustness_effective,quality_bundle,stage_weight_viability,stage_weight_quality_bundle,score_total
149,50,50,1.0,0.742619320136456,0.037489637113726555,0.9854350539855561,0.7,0.3,0.815464040291186,0.5,0.5,0.907732020145593
169,50,49,0.98,0.7609486636988496,0.03703948110729319,1.0,0.7,0.3,0.8326640645891947,0.5,0.5,0.9063320322945974
143,50,50,1.0,0.7487316308672216,0.03858261290195899,0.9500714619792457,0.7,0.3,0.8091335802008288,0.5,0.5,0.9045667901004144
85,50,50,1.0,0.753077595919258,0.03893322529386068,0.9387272824346837,0.7,0.3,0.8087725018738857,0.5,0.5,0.9043862509369429
108,50,50,1.0,0.7506522423747897,0.03888872885362975,0.9401669794298062,0.7,0.3,0.8075066634912946,0.5,0.5,0.9037533317456473
115,50,50,1.0,0.7346341739710246,0.03786990621237028,0.9731313219158899,0.7,0.3,0.8061833183544842,0.5,0.5,0.9030916591772421
37,50,50,1.0,0.7572185176426336,0.039567354338016426,0.9182098281247933,0.7,0.3,0.8055159107872815,0.5,0.5,0.9027579553936407
144,50,50,1.0,0.7464402007832924,0.039181868997464564,0.9306823334213065,0.7,0.3,0.8017128405746965,0.5,0.5,0.9008564202873482
134,50,50,1.0,0.7472619763112948,0.03932571391742604,0.926028183607133,0.7,0.3,0.8008918385000462,0.5,0.5,0.9004459192500232
124,50,49,0.98,0.7499318984807977,0.03768013617694806,0.9792713939833118,0.7,0.3,0.8187337471315519,0.5,0.5,0.8993668735657759
106,50,50,1.0,0.7500838680007831,0.03977754065848868,0.9114091804228813,0.7,0.3,0.7984814617274125,0.5,0.5,0.8992407308637063
51,50,50,1.0,0.7524774048215369,0.039961754027507644,0.9054488961290913,0.7,0.3,0.7983688522138033,0.5,0.5,0.8991844261069016
47,50,50,1.0,0.7409330764052027,0.03915442728463477,0.9315702190880479,0.7,0.3,0.7981242192100562,0.5,0.5,0.8990621096050281
